Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 16/C16-6v-7r-cropped.jpg,-0.9810641979247668,0.9192755412712483,-0.7740810964495217,0.895467136079586,-0.8598808064100519,0.8851664823669895,-0.8407957066254945,0.9092585196298911,-0.8404243719880536,0.926399758301457
images/filigrees/Corale 16/C16-2v-3r-croppedC.jpg,-0.8451942815032223,0.9068552145099296,-0.6675442282913243,0.8928948359982034,-0.78775407723757,0.9493861958193142,-0.6558360321078637,0.8797922960276757,-0.7330457303581043,0.9332911278060523
images/filigrees/Corale 16/C16-1r-croppedR.jpg,-1.0547561774183245,0.8293399745182597,-0.9765714622359005,0.8554302909198792,-0.8759557870160014,0.8771615807941427,-0.7929158177976184,0.90822694801531,-0.9118965965002952,0.8829738730051754
images/filigrees/Corale 16/C16-102v-I w illumination-2-cropped.jpg,-0.9991375590808276,0.9333739341076103,-1.025028275002861,0.9369109295801793,-1.0035463375313072,0.9087037211554894,-0.9857108525412216,0.9324075227121114,-1.002459787297526,0.9300318531148609
images/filigrees/Corale 16/C16-31v-32r-cropped.jpg,-1.0575312706553726,0.7978053470357116,-0.8849889531019873,0.815305977348119,-1.0040155343016666,0.8140858525481225,-0.9492261380685107,0.8239930912026325,-0.943781193931048,0.8434426609764774
images/filigrees/Corale 16/C16-6v-7r-croppedU.jpg,-1.289569046675597,0.730594669640399,-1.1912667858127712,0.6909628035144849,-1.1354988030791,0.7664095769694177,-1.2353105248693088,0.7005400635155935,-1.2334749189456922,0.7201187729808671
images/filigrees/Corale 16/C16-3v-4r-cropped.jpg,-1.188365376479299,0.6773317184307536,-1.036639743976012,0.6938381554084784,-1.1626571743735834,0.7595608183184763,-1.262711706154488,0.7457423446552326,-1.1862439572504442,0.7079144148851049
images/filigrees/Corale 16/C16-31r-cropped.jpg,-0.8810730728440226,0.958398062339338,-0.7181653030340504,0.9084004380714477,-0.7646457260787265,0.927280107917333,-0.7352135967307485,0.9111214941994102,-0.7628020991867677,0.9246366054655486
images/filigrees/Corale 16/C16-23v-24r-cropped.jpg,-1.4415723825331668,0.7580039877535022,-1.4891049770092757,0.7186018712499561,-1.689848549691134,0.7913534179851018,-1.3898136469980766,0.764184003508975,-1.6545481142645668,0.707654793012992
images/filigrees/Corale 16/C16-31v-32r-croppedA.jpg,-0.8107669886957509,0.8531906755525026,-0.8068786634440674,0.8411349399416218,-0.7866454854791313,0.9101205384874487,-0.8526721417878037,0.9416350092482633,-0.7912796763867128,0.9037390682794075
images/filigrees/Corale 16/C16-24v-25r-croppedN.jpg,-0.6446686423476713,0.838709621711303,-0.6344205595111174,0.8352459441844344,-0.6679863198498531,0.8742797966422328,-0.6155488742230203,0.8440291270530044,-0.6087468863749631,0.8262449136098502
images/filigrees/Corale 16/C16-35v-36r-croppedh.jpg,-1.1486856897681959,0.7453511512483906,-1.0586517138179088,0.8053057855502607,-1.2083413184139162,0.7444957817605939,-1.123379472049666,0.6939076399252448,-1.115593426855835,0.7694936225077176
images/filigrees/Corale 16/C16-1r-cropped.jpg,-0.7193354889779949,0.8930704344100387,-0.7257897037372479,0.9117224597715208,-0.7504039586238141,0.9031025933785986,-0.7093184124454635,0.9013080821334473,-0.7047785815557316,0.8903761672819401
images/filigrees/Corale 16/C16-35r-cropped.jpg,-0.8221988671363326,0.9526390943226636,-0.6803019530083237,0.9062436375478461,-0.766317058145291,0.939387639138,-0.6852578251775989,0.9111881052131375,-0.7304458867658122,0.9325854828653518
images/filigrees/Corale 16/C16-35v-36r-croppedL.jpg,-0.7825472168441409,0.9256466163034668,-0.6303808903415696,0.8368200837346037,-0.8700971568078206,0.9389514098352261,-0.7437624875798065,0.9219804816965153,-0.7492984759155195,0.9246584500964515
images/filigrees/Corale 16/C16-24v-25r-croppedE.jpg,-0.7786368497513532,0.8869818109008702,-0.617611190570737,0.8623216002908928,-0.8070051946109332,0.8999795349355801,-0.6448738474849887,0.8755938281371184,-0.6934844564782168,0.8981237234688989
images/filigrees/Corale 16/C16-38v-gold ck-cropped.jpg,-0.8931104887926596,0.973075611431531,-0.8510510851036057,0.9625774037856591,-0.8165052390809574,0.9544214247707388,-0.792651188881778,0.9464432119930907,-0.837927865272082,0.9630578594527643
images/filigrees/Corale 16/C16-102v-103r-cropped.jpg,-1.0313835007494543,0.8986333695248624,-0.9350738859843729,0.9155816285886341,-0.8314589692125389,0.9203894831952488,-0.8753159057272708,0.9691308013410219,-0.9097352941583079,0.9399437863549698
images/filigrees/Corale 16/C16-40v-41r-cropped.jpg,-0.7347528623925672,0.9348530197163744,-0.7545592562535515,0.9375814649962654,-0.8259732851913686,0.9408284435952394,-0.7228022288928797,0.9163621361465087,-0.7578470996143417,0.9393597843683866
images/filigrees/Corale 16/C16-41v-42r-croppedU2.jpg,-1.1006440519178688,0.7718062820586193,-1.0915856370076256,0.7795232767884659,-1.252003719782742,0.724110769822705,-1.0597818283110187,0.7352909398655142,-1.1092786180488192,0.7665579257555982
images/filigrees/Corale 16/C16-46v-cropped.jpg,-0.795488930839203,0.905949890219289,-0.7741537871154557,0.890809326023396,-0.957214908666601,0.8456141074336815,-0.8745784520934073,0.8759735903178951,-0.8429846925270303,0.8899802345421226
images/filigrees/Corale 16/C16-22v-Drawing-2-cropped.jpg,-0.9963764290795541,0.9641097085173879,-0.9922271530003387,0.9600065598280476,-1.0098889402341171,0.9752321270963753,-0.9629448012541201,0.9677610149487491,-0.9875554999834637,0.969628526984369
images/filigrees/Corale 16/C16-2v-3r-croppedN.jpg,-0.7148492834531547,0.8918312640734442,-0.7593878079659568,0.9081392845698391,-0.7595859749765798,0.9113491620327685,-0.6949717493680982,0.8698244405533919,-0.7191704387830333,0.8886123447453663
images/filigrees/Corale 16/C16-74v-75r-St John liturgy-cropped.jpg,-0.7145867199896244,0.9177526042038137,-0.6389551958157561,0.8765823882831119,-0.655013348336109,0.8889866890526676,-0.6430182394034115,0.8777988978001618,-0.6556890447100585,0.8889298726923217
images/filigrees/Corale 16/C16-41v-42r-croppedU.jpg,-0.9304990685523057,0.8116448891492574,-0.9694191997832368,0.8178671793869594,-1.235640602564006,0.757580012264406,-1.168677917977552,0.7687127217334402,-1.0391665389306346,0.8197916674356786
