Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 16/C16-6v-7r-cropped.jpg,-0.41059468763501905,0.7533308377900091,-0.33099461948494036,0.7586833229072677,-0.33514211389812515,0.7284853426175645,-0.38222543516275576,0.7652495814786294,-0.49823578400415314,0.886264550815495
images/filigrees/Corale 16/C16-2v-3r-croppedC.jpg,-0.47566815988755495,0.8955642423978439,-0.4283419486182649,0.8744551641178675,-0.44191375652962295,0.8644221799456604,-0.4718792884814502,0.8879510223846613,-0.649683735818854,0.9245063230687726
images/filigrees/Corale 16/C16-1r-croppedR.jpg,-0.5165889752355294,0.9103673082326118,-0.5172793182657963,0.9105492617963837,-0.5272391534889257,0.9129558970491393,-0.5037405191693503,0.9044663239961191,-0.6912074595823932,0.9188880867918844
images/filigrees/Corale 16/C16-102v-I w illumination-2-cropped.jpg,-0.823943431838703,0.9598524769975066,-0.7186264731553433,0.9291755967881283,-0.9173705357047568,0.9582042330097471,-0.7951969786392737,0.9458274927500127,-0.9869369553700992,0.9249008973158075
images/filigrees/Corale 16/C16-31v-32r-cropped.jpg,-0.36910603729168573,0.7848617462938184,-0.3383092558931687,0.7838568066914829,-0.3625297952309293,0.792685305681064,-0.34779497626859096,0.7938991967540009,-0.513932689308828,0.9090718059908782
images/filigrees/Corale 16/C16-6v-7r-croppedU.jpg,-0.495297528214368,0.8763870574937577,-0.4604983684479442,0.8664824451835217,-0.4858791313788407,0.8745227536741306,-0.43418884548765385,0.8379541674124076,-0.6536880690634089,0.9321386381355382
images/filigrees/Corale 16/C16-3v-4r-cropped.jpg,-0.42214325114454354,0.8145619549820666,-0.4026702700948413,0.8296986367375583,-0.4123182012439398,0.8127673393912822,-0.4428972808004306,0.82011454027724,-0.577224494035044,0.9206401803827129
images/filigrees/Corale 16/C16-31r-cropped.jpg,-0.5544394865166173,0.9082780993524507,-0.5358491964904474,0.9026773348979579,-0.5668307317701565,0.9171407140693177,-0.603279506758165,0.9199975248205523,-0.7567241921068686,0.9500228435304748
images/filigrees/Corale 16/C16-23v-24r-cropped.jpg,-0.5837250740954426,0.9192693277269531,-0.5827460622944237,0.9210652603921903,-0.6009665077472967,0.9282174813423876,-0.5646488659273146,0.9112486911980496,-0.7954062939779711,0.9300643013239129
images/filigrees/Corale 16/C16-31v-32r-croppedA.jpg,-0.3543596405770974,0.7490987860297844,-0.3945026998552778,0.7858061643151626,-0.31694405708470363,0.721877440020549,-0.3756635393988935,0.747346136839532,-0.5119607130771446,0.8935957904681601
images/filigrees/Corale 16/C16-24v-25r-croppedN.jpg,-0.3969636765240562,0.7983672856533218,-0.405341820098632,0.8115225058196224,-0.4339689898219978,0.8302423469728296,-0.39641538308709073,0.8393487568337551,-0.6026716402783692,0.9286723571175716
images/filigrees/Corale 16/C16-35v-36r-croppedh.jpg,-0.41067406136832973,0.843180892250034,-0.41155204191025146,0.8653788962183587,-0.4214961626187523,0.8480901358725108,-0.35574185747354276,0.8340227560017375,-0.5765070019425074,0.9219597733173662
images/filigrees/Corale 16/C16-1r-cropped.jpg,-0.4855528639682821,0.8813744160678432,-0.49620129351653736,0.8861567286877384,-0.46113525657402293,0.859583906606397,-0.45060519349091743,0.8704920130798363,-0.6603385598922885,0.9400395570512298
images/filigrees/Corale 16/C16-35r-cropped.jpg,-0.5195341626251337,0.9078767141203598,-0.5841637056087893,0.9218312813560444,-0.5291034962192032,0.9110213220957218,-0.5648177864750994,0.9191536534840886,-0.7602273444560776,0.9362699461213868
images/filigrees/Corale 16/C16-35v-36r-croppedL.jpg,-0.4554403276941647,0.8656960658487394,-0.3268140921110774,0.8130766578366396,-0.4746974593765304,0.8510939211953973,-0.41280630529643686,0.8447876193484679,-0.6096200553400287,0.928990771831316
images/filigrees/Corale 16/C16-24v-25r-croppedE.jpg,-0.40092890425947214,0.8525467080979465,-0.4447565321159267,0.8746164724154766,-0.39259366835124443,0.8508675178591687,-0.3913168561598878,0.8527786543089706,-0.5768653092388129,0.9155653386545072
images/filigrees/Corale 16/C16-38v-gold ck-cropped.jpg,-0.6559194697939066,0.9364916276988203,-0.5972206880934421,0.9282420352472526,-0.6425513274667823,0.9345496749438443,-0.6087475723433946,0.9302637333051916,-0.8390948471148985,0.9495252864054777
images/filigrees/Corale 16/C16-102v-103r-cropped.jpg,-0.6969294578814554,0.9458722542850702,-0.758095655805597,0.9545132359110746,-0.6484800370040885,0.9362792432718068,-0.7676190603175043,0.9544128047698508,-0.9072761165542876,0.9580414568884774
images/filigrees/Corale 16/C16-40v-41r-cropped.jpg,-0.5658933673901682,0.924235685790489,-0.5641369017593822,0.9203830215752998,-0.5895450331747082,0.9270506558278867,-0.5322859796796983,0.9132088735731139,-0.7883374981602328,0.9388864443623001
images/filigrees/Corale 16/C16-41v-42r-croppedU2.jpg,-0.34731096323833505,0.7247937708092728,-0.35563688052656595,0.7674426384225048,-0.3637039737285415,0.79647908648088,-0.3537321933907759,0.7533276575994283,-0.5084078587004661,0.8962052758323461
images/filigrees/Corale 16/C16-46v-cropped.jpg,-0.5244166636502618,0.9101330867066255,-0.507645428354587,0.9070657234725521,-0.5530410599789709,0.9202685011261518,-0.4848731815593241,0.8976427865535704,-0.767381696503635,0.9254185767491913
images/filigrees/Corale 16/C16-22v-Drawing-2-cropped.jpg,-0.8249864382712265,0.9552664275905609,-0.9067734580967255,0.9532022330889176,-0.8694871198639478,0.9529975200538625,-0.8635935087893551,0.9461883622892556,-1.1325408220106563,0.9308130483493191
images/filigrees/Corale 16/C16-2v-3r-croppedN.jpg,-0.417409649967181,0.8481532773673468,-0.4659630568584148,0.8634212719352161,-0.4477558212541041,0.8576343269281809,-0.43209700221713904,0.8516514513589155,-0.6240954052959277,0.9363114392027342
images/filigrees/Corale 16/C16-74v-75r-St John liturgy-cropped.jpg,-0.45678122046293873,0.8775927423453057,-0.5000788112296594,0.8853978467480629,-0.46704423303324866,0.8841187072363916,-0.4662823183280429,0.8897206824598943,-0.6844204758859647,0.941549299995127
images/filigrees/Corale 16/C16-41v-42r-croppedU.jpg,-0.4498188098361572,0.8452004232608958,-0.4545917855508542,0.8552056238540381,-0.46376027616296417,0.8673382772586403,-0.4546196513274648,0.8583384893378743,-0.626304836404746,0.9284987649562181
